"";"clave";"cod_municipio";"municipio";"anio";"fecha";"mes";"dia_semana";"rango_hora";"edad";"sexo";"escolaridad";"estado_civil";"mecanismo_causal";"agresor";"circunstancia";"deficit_cuantitativo";"deficit_cualitativo";"deficit_habitacional";"valor_agregado_2019";"valor_agregado_2020";"total_hombres";"total_mujeres";"total_poblacion";"porcentaje_pobl_hombres";"porcentaje_pobl_mujeres";"energia_electrica";"internet";"pobreza_multi_2018";"analfabetismo";"bajo_logro_educativo";"trabajo_informal"
"1";"08849:2019";"08849";"usiacuri";"2019";"2019-05-01";"5";"3";NA;"26.000";"hombre";NA;"2";"corto punzante";"sin informacion";"otra";"20.06";"57.18";"77.24";" 0.2020786";" 0.2066678";" 34490";"  6215";"  12743";"51.22813";"48.77187";"0.9523810";"0.010";"32.7";"16.3";"52.4";"85.0"
"2";"08078:2019";"08078";"baranoa";"2019";"2019-06-10";"6";"1";"2";"63.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"delincuencia_comun";"10.87";"66.38";"77.25";" 1.8547909";" 1.6760275";" 32399";" 32550";"  64949";"49.88375";"50.11625";"0.9846988";"0.161";"33.5";"11.2";"42.8";"87.6"
"3";"08372:2019";"08372";"juan de acosta";"2019";"2019-06-10";"6";"1";"4";"35.000";"hombre";NA;NA;"cortante";"agresor desconocido";"ajuste de cuentas";"10.68";"84.80";"95.48";" 0.4108385";" 0.4473230";" 34490";" 10616";"  21971";"51.68176";"48.31824";"0.9736239";"0.033";"36.7";"17.8";"53.6";"91.2"
"4";"08638:2019";"08638";"sabanalarga";"2019";"2019-06-11";"6";"2";"3";"22.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"otra";"11.38";"46.86";"58.24";" 1.9391059";" 1.9309815";" 34490";" 48897";"  97005";"49.59332";"50.40668";"0.9619442";"0.143";"36.5";"19.4";"46.7";"89.6"
"5";"08638:2019";"08638";"sabanalarga";"2019";"2019-06-11";"6";"2";"3";"28.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"otra";"11.38";"46.86";"58.24";" 1.9391059";" 1.9309815";" 34490";" 48897";"  97005";"49.59332";"50.40668";"0.9619442";"0.143";"36.5";"19.4";"46.7";"89.6"
"6";"08558:2019";"08558";"polonuevo";"2019";"2019-06-16";"6";"7";"2";"24.000";"hombre";NA;"1";"proyectil de arma de fuego";"conocido sin ningun trato";"rina";"16.78";"50.31";"67.09";" 0.3764655";" 0.4114766";" 34490";"  9377";"  18941";"50.49364";"49.50636";"0.9776942";"0.036";"30.5";"13.6";"47.7";"85.3"
"7";"08421:2019";"08421";"luruaco";"2019";"2019-07-01";"7";"1";"1";"32.000";"hombre";NA;"2";"corto punzante";"amigo (a)";"rina";"10.57";"76.87";"87.44";" 0.4541158";" 0.4811839";" 34490";" 14719";"  29348";"49.84667";"50.15333";"0.9764545";"0.139";"55.4";"25.8";"65.7";"93.2"
"8";"08549:2019";"08549";"piojo";"2019";"2019-07-28";"7";"7";"1";"29.000";"hombre";"1";"2";"proyectil de arma de fuego";"sin informacion";"otra";"13.16";"83.71";"96.87";" 0.1091267";" 0.1192397";" 34490";"  3283";"   6873";"52.23338";"47.76662";"0.9434115";"0.013";"45.2";"26.2";"61.5";"87.6"
"9";"08421:2019";"08421";"luruaco";"2019";"2019-08-25";"8";"7";"1";"23.000";"hombre";"2";"2";"proyectil de arma de fuego";"sin informacion";"sin informacion";"10.57";"76.87";"87.44";" 0.4541158";" 0.4811839";" 34490";" 14719";"  29348";"49.84667";"50.15333";"0.9764545";"0.139";"55.4";"25.8";"65.7";"93.2"
"10";"08638:2019";"08638";"sabanalarga";"2019";"2019-09-03";"9";"2";NA;"48.000";"hombre";NA;"1";"corto punzante";"sin informacion";"sin informacion";"11.38";"46.86";"58.24";" 1.9391059";" 1.9309815";" 34490";" 48897";"  97005";"49.59332";"50.40668";"0.9619442";"0.143";"36.5";"19.4";"46.7";"89.6"
"11";"08421:2019";"08421";"luruaco";"2019";"2019-09-15";"9";"7";"1";"45.000";"hombre";NA;"1";"corto punzante";"sin informacion";"rina";"10.57";"76.87";"87.44";" 0.4541158";" 0.4811839";" 34490";" 14719";"  29348";"49.84667";"50.15333";"0.9764545";"0.139";"55.4";"25.8";"65.7";"93.2"
"12";"08421:2019";"08421";"luruaco";"2019";"2019-09-30";"9";"1";"4";"26.000";"hombre";NA;"1";"corto punzante";"sin informacion";"rina";"10.57";"76.87";"87.44";" 0.4541158";" 0.4811839";" 34490";" 14719";"  29348";"49.84667";"50.15333";"0.9764545";"0.139";"55.4";"25.8";"65.7";"93.2"
"13";"08634:2019";"08634";"sabanagrande";"2019";"2019-10-05";"10";"6";NA;"24.000";"hombre";"2";"1";"proyectil de arma de fuego";"sin informacion";"sin informacion";"11.27";"31.24";"42.50";" 0.6558123";" 0.7002683";" 34490";" 17002";"  33858";"49.78439";"50.21561";"0.9866329";"0.121";"31.9";"14.9";"46.7";"86.2"
"14";"08638:2019";"08638";"sabanalarga";"2019";"2019-11-06";"11";"3";NA;"20.000";"hombre";"1";"2";"proyectil de arma de fuego";"sin informacion";"sin informacion";"11.38";"46.86";"58.24";" 1.9391059";" 1.9309815";" 34490";" 48897";"  97005";"49.59332";"50.40668";"0.9619442";"0.143";"36.5";"19.4";"46.7";"89.6"
"15";"08001:2019";"08001";"barranquilla";"2019";"2019-01-01";"1";"2";"1";"33.000";"hombre";"2";"2";"corto punzante";"sin informacion";"rina";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
